Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 300,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 450,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 600,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 150,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 760,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 100,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 860,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 10,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 80,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 30,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 960,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 100,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 1060,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 100,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 2,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 10,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 20,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 100,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 10,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 50,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 20,53
IIT-Library,sub_class,PdfViewer,showpdf,Magic Number,The method contains a magic number: 100,53
